          source           |     relationship     |          target           
 AKP                       | Lives In             | Turkey
 Aksamovic                 | Member Of            | Ustashi Government
 Alain de L'Isle           | Subordinate Of       | Lucius III
 Alain de Roucy            | Adversary Of         | Pedro
 Alan Buchanan             | Member Of            | Church of Ireland
 Alan Dulles               | Leader Of            | CIA
 Alan Goodrich Kirk        | Leader Of            | Office of Naval Intellige
 Alan Greenberg            | Employee Of          | Bear Stearns
 Alan Keyes                | Opponent Of          | Barack Obama
 Alan Keyes                | Employee Of          | WND
 Alan Lee                  | Employee Of          | Washington County schools
 Alan Marlis               | Collaborator Of      | The Lindbergh Baby Kidnap
 Alan Ramsay               | Associate Of         | John Stuart, 3rd Earl of 
 Alaric I                  | Leader Of            | Visigoths
 Alava                     | Subordinate Of       | Philip II
 Alban Butler              | Member Of            | Roman Catholic Church
 Alberico                  | Child Of             | Ezzehn
 Alberico                  | Sibling Of           | Ezzelin
 Alberic of Ostia          | Lives In             | Nantes
 Albero                    | Lives In             | Mercke
 Albert                    | Employer Of          | the Fuggers
 Albert Anastasia          | Leader Of            | Mangano crime family
 Albert Anastasia          | Sibling Of           | Tony Anastasio
 Albert Biderman           | Founder Of           | Albert Biderman
 Albert Close              | Member Of            | Protestant Truth Society 
 Albert D. Biderman        | Works For            | University of Chicago
 Albert Dürer              | Supporter Of         | Luther
 Albert Dürer              | Lives In             | Nuremberg
 Albert Einstein           | Attended             | Catholic primary school
 Albert Einstein           | Spouse Of            | Elsa
 Albert Einstein           | Partner Of           | Georges Lemaître
 Albert Einstein           | Lives In             | Ulm
 Albert Einstein           | Lives In             | United States
 Albert Hartl              | Employee Of          | CIA
 Albert Hartl              | Subordinate Of       | Hitler
 Albert Hoffman            | Employee Of          | Sandoz Laboratories
 Albert Holland            | Parent Of            | James Frederick Holland
 Albert Kligman            | Spouse Of            | Beatrice Troyan
 Albert Kligman            | Collaborator Of      | Beatrice Troyan
 Albert Kligman            | Spouse Of            | Lorraine Rubin
 Albert Kligman            | Spouse Of            | Mitzi Melnicoff
 Albert Kligman            | Graduate Of          | Pennsylvania State
 Albert Kligman            | Employee Of          | University of Pennsylvani
 Albert Kligman            | Attended             | University of Pennsylvani
 Alberto                   | Leader Of            | Piacenza
 Alberto Alblondi          | Member Of            | P2
 Alberto Dalla Chiesa      | Member Of            | carabinieri
 Alberto de' Capitanei     | Employer Of          | Parlement of Grenoble
 Alberto della Scala       | Lives In             | Verona
 Albert of Brandenburg     | Member Of            | Hohenzollern
 Albert of Habsburg        | Spouse Of            | Elizabeth
 Albert of Habsburg        | Parent Of            | Ladislas
 Alberto Parini            | Subordinate Of       | Lamberto
 Alberto Parini            | Member Of            | Order of the Minorites of
 Alberto Rivera            | Collaborator Of      | Jack Chick
 Alberto Rivera            | Member Of            | Jesuits
 Alberto Vignes            | Subordinate Of       | Perón
 Albert Pike               | Member Of            | Freemasonry
 Albert Pike               | Founder Of           | KKK
 Albert Pike               | Leader Of            | Knights of the Golden Cir
 Albert Pike               | Founder Of           | Ku Klux Klan
 Albert Pike               | Leader Of            | Scottish Rite Masons
 Albert Sabin              | Attended             | conclave of the National 
 Albert Speer              | Subordinate Of       | Adolf Hitler
 Albert Thomas             | Friend Of            | Johnson
 Albigenses                | Lives In             | Catalonia
 Albigenses                | Lives In             | France
 Albigenses                | Lives In             | Provence
 Albin Krebs               | Employee Of          | the NY Times
 Albrecht von Boeselager   | Employee Of          | The Sovereign Military Ho
 alcaldÃ©                  | Colleague Of         | governor
 Al Capone                 | Lives In             | Cicero, Illinois
 Aldo Bernacchi            | Works For            | News per Miccia Corta
 Aldo Moro                 | Leader Of            | Italy
 Aldrich Ames              | Employee Of          | CIA
 Alec Luhn                 | Employee Of          | The Guardian
 Alec Zeck                 | Member Of            | Health Freedom for Humani
 Aleister Crowley          | Interacted With      | Aldous Huxley
 Aleister Crowley          | Associate Of         | Anton LaVey
 Aleister Crowley          | Lives In             | Europe
 Aleister Crowley          | Lives In             | France
 Aleister Crowley          | Associate Of         | Jack Parsons
 Aleister Crowley          | Mentor Of            | Jack Parsons
 Aleister Crowley          | Associate Of         | Lam
 Aleister Crowley          | Employee Of          | MI5
 Aleister Crowley          | Associate Of         | Michael Aquino
 Aleister Crowley          | Leader Of            | Mysteria Mystica Maxima
 Aleister Crowley          | Leader Of            | Ordo Templi Orientis
 Aleister Crowley          | Founder Of           | Thelema
 Aleister Crowley          | Partner Of           | Victor Benjamin Neuburg
 Aleksi Tzatzev            | Employee Of          | Business Insider
 Alessandro d’Ortenzi      | Founder Of           | Banda della Magliana
 Alessandro Farnese        | Member Of            | House of Farnese
 Alessandro Farnese        | Founder Of           | Knights of the Virgin Mar
 Alessandro Farnese        | Founder Of           | Knights of waterfowl
 Alessandro Massignani     | Works For            | De Capo Press
 Alessandro Orsini         | Mentor Of            | Galileo
 Alessandro Zorzi          | Lives In             | Venice
 Alexander                 | Lives In             | Belgrade
 Alexander                 | Parent Of            | Cesare
 Alexander                 | Parent Of            | Giovanni
 Alexander                 | Leader Of            | Greece
 Alexander                 | Lives In             | Greece
 Alexander                 | Interacted With      | St. Louis
 Alexander Acosta          | Works For            | Southern District of Flor
 Alexander Acosta          | Employer Of          | United States Attorney
 Alexander Cockburn        | Collaborator Of      | Jeffrey St. Clair
 Alexander Cockburn        | Works For            | Verso
 Alexander Cockburn        | Employer Of          | Whiteout: The CIA, Drugs,
 Alexander Del Mar         | Employer Of          | The Worship of Augustus C
 Alexander de Marenches    | Leader Of            | French secret service
 Alexander de Marenches    | Leader Of            | Safari Club
 Alexander de Rhodes       | Lives In             | Indo-China
 Alexander Dubcek          | Leader Of            | Communist Party
 Alexander Dugin           | Friend Of            | Geidar Dzhemal
 Alexander Dugin           | Employee Of          | KGB
 Alexander Dugin           | Supporter Of         | Kremlin
 Alexander Dugin           | Attended             | Moscow Aviation Institute
 Alexander Dugin           | Member Of            | Pamyat
 Alexander F. Mitchell     | Employee Of          | St. Andrews University
 Alexander Graham Bell     | Founder Of           | Science
 Alexander Haig            | Graduate Of          | Columbia Business School
 Alexander Haig            | Superior Of          | Henry Kissinger
 Alexander Haig            | Subordinate Of       | Henry Kissinger
 Alexander Haig            | Member Of            | Knights of Malta
 Alexander Haig            | Graduate Of          | Lower Merion High School
 Alexander Haig            | Attended             | Saint Joseph’s Preparator
 Alexander Haig            | Superior Of          | Santovito
 Alexander Haig            | Member Of            | SMOM
 Alexander Haig            | Graduate Of          | United States Military Ac
 Alexander Haig            | Attended             | University of Notre Dame
 Alexander Hislop          | Collaborator Of      | Babylon
 Alexander Hislop          | Supporter Of         | Caius Maria
 Alexander Hislop          | Employer Of          | The Two Babylons
 Alexander I               | Employer Of          | Jesuits
 Alexander II              | Associate Of         | Catherine Dolgorukaya
 Alexander II              | Child Of             | Nicholas I
 Alexander III             | Leader Of            | council at Tours
 Alexander III             | Lives In             | France
 Alexander Isayevich Solzh | Lives In             | United States
 Alexander Isayevich Solzh | Lives In             | Vermont
 Alexander IV              | Opponent Of          | Ezzelin de Romano
 Alexander Langmuir        | Founder Of           | Epidemic Intelligence Ser
 Alexander Langmuir        | Employer Of          | Pascal Imperato
 Alexander Litvinenko      | Employee Of          | British intelligence
 Alexander Litvinenko      | Employee Of          | Spanish Intelligence
 Alexander Lukashenko      | Leader Of            | Belarus
 Alexander Stenson         | Superior Of          | Walsh
 Alexander Stille          | Employer Of          | Vintage
 Alexander V.              | Employer Of          | Frere Pons Feugeyron
 Alexander VI              | Lives In             | Apostolic Palace
 Alexander VI              | Child Of             | Calixtus III
 Alexander VI              | Parent Of            | Cezar Borgia
 Alexander VI              | Parent Of            | Lucrezia
 Alexander VI              | Enemy Of             | Savonarola
 Alexander Zakharchenko    | Leader Of            | People’s Republic of Done
 Alexandra Robbins         | Employee Of          | Back Bay Books
 Alexandre de Marenches    | Founder Of           | Safari Club
 Alexandre de Marenches    | Member Of            | Sovereign Military Order 
 Alexandru Aldea           | Sibling Of           | Vlad II
 Alexei Anishchuk          | Employee Of          | Reuters
 Alex Houston              | Employee Of          | CIA
 Alex Houston              | Spouse Of            | O'Brien
 Alexis Coe                | Works For            | New York Public Library
 Alex Jones                | Leader Of            | Alex Jones Show
 Alex Jones                | Colleague Of         | Andrew Kaufman
 Alex Jones                | Friend Of            | Charlie Sheen
 Alex Jones                | Lives In             | Grove
 Alex Jones                | Friend Of            | Martin Sheen
 Alex Jones                | Interacted With      | Robert Steele
 Alex Jones                | Interacted With      | Steve Pieczenik
 Alex Pappas               | Works For            | Daily Caller
 Alex Southwell            | Interacted With      | Phil
 Alex Wood                 | Employee Of          | National Crime Squad
 Alfons de Borja           | Aunt/Uncle Of        | Rodrigo
 Alfons de Borja           | Superior Of          | Rodrigo
 Alfonso                   | Spouse Of            | Lucrezia
 Alfonso                   | Sibling Of           | Sancha
 Alfonso de Alprao         | Employee Of          | Dom Joao
 Alfonso de Borgia         | Employee Of          | Alfonso I of Aragon
 Alfonso de Borgia         | Colleague Of         | Piccolomini
 Alfonso de Borgia         | Aunt/Uncle Of        | Roderigo
 Alfonso de Borgia         | Colleague Of         | Rodrigo de Borgia
 Alfonso de Borgia         | Employee Of          | University of Lerida
 Alfonso I of Aragon       | Employer Of          | Alfonso de Borgia
 Alfonso López Trujillo    | Member Of            | Latin American Episcopal 
 Alfonso of Aragon         | Child Of             | King of Naples
 Alfonso of Aragon         | Spouse Of            | Lucrezia
 Alfonso Salmeron          | Attended             | Council of Trent
 Alfonso Salmeron          | Employee Of          | Íñigo de Loyola
 Alfonso Salmeron          | Member Of            | Jesuits
 Alfonso Salmeron          | Founder Of           | Jesuits
 Alfred                    | Spouse Of            | Clara
 Alfred C. Kinsey          | Employer Of          | Publication of Sexual Beh
 Alfred DuPont             | Founder Of           | World Commerce Corporatio
 Alfred E. Smith           | Member Of            | Knights of Columbus
 Alfred E. Smith           | Lives In             | New York
 Alfred E. Smith IV        | Parent Of            | Smith
 Alfred Kinsey             | Parent Of            | Anne
 Alfred Kinsey             | Attended             | Bowdoin
 Alfred Kinsey             | Parent Of            | Bruce
 Alfred Kinsey             | Spouse Of            | Clara
 Alfred Kinsey             | Friend Of            | Dickinson
 Alfred Kinsey             | Parent Of            | Donald
 Alfred Kinsey             | Works For            | Indiana University
 Alfred Kinsey             | Parent Of            | Joan
 Alfred Kinsey             | Mentor Of            | King
 Alfred Kinsey             | Employer Of          | Kinsey staff
 Alfred Kinsey             | Friend Of            | Ralph Voris
 Alfred Kinsey             | Mentor Of            | Steward
 Alfred Kinsey             | Interacted With      | Thelema Abbey
 Alfred M. Gray            | Leader Of            | Marine Corps
 Alfredo Ildefonso Schuste | Member Of            | The Vatican
 Alfred P. Sloan           | Employee Of          | General Motors
 Alfred P. Sloan           | Employee Of          | J. P. Morgan firm
 Al Hunter                 | Works For            | The Weekly View
 Ali                       | Child Of             | Abu Tálib
 Ali                       | Student Of           | Muhammad
 Alice of Montmorency      | Spouse Of            | de Montfort
 Ali ibn Abi Talib         | Spouse Of            | Muhammad
 Ali Mihaloğlu             | Subordinate Of       | Mehmed
 Alisha Owen               | Associate Of         | John DeCamp
 Alison Knezevich          | Employee Of          | The Baltimore Sun
 Alissiardi                | Employee Of          | Pius XI
 Alissiardi                | Subordinate Of       | Pius XI
 Alito                     | Member Of            | Opus Dei
 Allah’s Apostle           | Spouse Of            | Khadija
 Allan Hall                | Employee Of          | Daily Mail
 Allan Lengel              | Employee Of          | Washington Post
 Allen Dulles              | Aunt/Uncle Of        | Avery Dulles
 Allen Dulles              | Founder Of           | Central Intelligence Agen
 Allen Dulles              | Employee Of          | CIA
 Allen Dulles              | Leader Of            | CIA
 Allen Dulles              | Member Of            | Council on Foreign Relati
 Allen Dulles              | Enemy Of             | John F. Kennedy
 Allen Dulles              | Sibling Of           | John Foster Dulles
 Allen Dulles              | Founder Of           | Operation Mockingbird
 Allen Dulles              | Employee Of          | OSS
 Allen Dulles              | Founder Of           | Project BLUEBIRD
 Allen Dulles              | Founder Of           | Project PAPERCLIP
 Allen Dulles              | Leader Of            | US Office of Strategic Se
 Allen Weinstein           | Founder Of           | The National Endowment fo
 Allies                    | Enemy Of             | Mgr. Tiso
 Alois Hudal               | Collaborator Of      | Franz Stangl
 Alois Hudal               | Collaborator Of      | Horst Wagner
 Aloísio Lorscheider       | Lives In             | Brazil
 Alojzije Stepinac         | Supporter Of         | Pavelic
 Alojzije Stepinac         | Lives In             | Zagreb
 Alonso, Bishop of Avila   | Subordinate Of       | Eugenius IV
 Alonso de Almarzo         | Leader Of            | Antealtares of Compostell
 Alonso de Borgia          | Sibling Of           | Isabella
 Alonso II                 | Parent Of            | Pedro
 Alonso the Wise           | Lives In             | Castile
 Alonso the Wise           | Founder Of           | El Fuero Real
 Alonso the Wise           | Founder Of           | Las Siete Partidas
 Aloysius Stepinac         | Leader Of            | Croatia
 Alparslan Türkeş          | Leader Of            | Grey Wolves
 Alparslan Türkeş          | Leader Of            | National Action Party
 Alparslan Türkeş          | Founder Of           | Nationalist Action Party
 Alphonse                  | Spouse Of            | Jeanne
 Alphonse de Ronceyrac     | Leader Of            | Parlement held April 14, 
 Alphonse Liguori          | Leader Of            | Pope Pius XII
 Alphonse Louis Constant   | Attended             | Saint Sulpice seminary
 Alphonse of Poitiers      | Sibling Of           | Louis
 Alphonso Taft             | Founder Of           | Skull and Bones
 Alphonso Taft             | Founder Of           | The Skull and Bones
 Alphonso Taft             | Parent Of            | William Howard Taft
 Al-Suyuti                 | Member Of            | Shafi’i School of fiqh
 Alticlero                 | Child Of             | Gieremia
 Alton Nolen               | Employee Of          | Vaughn Foods
 Álvaro del Portillo       | Leader Of            | Opus Dei
 Alvin Weinberg            | Member Of            | Manhattan Project
 Amadeo YII.               | Leader Of            | Savoy
 Amad Salem                | Employee Of          | FBI
 Amanda Macias             | Employee Of          | Business Insider
 Amanda Schiavo            | Works For            | Latin Times
 Amauri                    | Child Of             | de Montfort
 Amauri                    | Niece/Nephew Of      | Gui
 Amaury d’Craon            | Child Of             | Jean d’Craon
 Amaury d’Craon            | Sibling Of           | Marie d’Craon
 Ambassador Rice           | Employee Of          | NBC News
 Amber Vinson              | Colleague Of         | Eric Duncan
 Amber Vinson              | Associate Of         | Thomas Eric Duncan
 Ambrose Evans-Pritchard   | Works For            | Telegraph
 Ambrozije Novak           | Member Of            | Capucine Monastery in Var
 Ambrozjie Novak           | Member Of            | Capucine Monastery in Var
 American Cancer Society   | Founder Of           | Pap Smear Discovery
 American Central Intellig | Subordinate Of       | American Government
 American Freedom Alliance | Opponent Of          | California Science Center
 American International Un | Owner Of             | C. V. Starr
 Amiel de Lautrec          | Leader Of            | S. Sernin
 Amiel de Perles           | Interacted With      | Bernard Audoyn de Montaig
 Ami Perrin                | Enemy Of             | Jehán Cauvín
 Ami Perrin                | Friend Of            | Jehán Cauvín
 Amon Göth                 | Leader Of            | Kraków-Płaszów concentrat
 Amschel Moses Bauer       | Parent Of            | Meyer Amschel Bauer
 Amsterdam                 | Lives In             | Kingdom of the Netherland
 Amy Gutman                | Spouse Of            | Michael W. Doyle
 Amy Gutman                | Leader Of            | University of Pennsylvani
 Amy Schneider             | Employee Of          | Ambassador
 Ana María Mauricia        | Parent Of            | Louis Dieudonné
 Ananda Coomaraswamy       | Spouse Of            | Alice Richardson
 Anatoliy Golitsyn         | Employee Of          | KGB
 Anders Åslund             | Employee Of          | Moscow Times
 Anderson Cooper           | Works For            | CNN
 Andrea                    | Opponent Of          | Gregory IX.
 Andrea                    | Lives In             | Perugia
 Andrea Doria              | Leader Of            | Battle of Lepanto
 Andrea Gagliarducci       | Employee Of          | National Catholic Registe
 Andrea Gritti             | Leader Of            | Venice
 Andreas                   | Lives In             | Caesarea
 Andreas Carlstadt         | Friend Of            | Martin Luther
 Andreas Quirrenbach       | Employee Of          | WND
 Andreas Schockenhoff      | Member Of            | Parliament
 Andrea Tornielli          | Employee Of          | the Vatican Insider
 Andre Carson              | Member Of            | House Permanent Select Co
 André de Montbard         | Member Of            | Poor Knights of Christ an
 André de Montbard         | Member Of            | Templars
 Andrei Ouroussof          | Member Of            | Jesuits
 Andreotti                 | Member Of            | P2
 Andreotti                 | Interacted With      | parliamentary commission
 Andreotti                 | Associate Of         | Sicilian Mafia
 Andreotti                 | Leader Of            | SISMI
 Andrew Breitbart          | Founder Of           | Breitbart.com
 Andrew Breitbart          | Employee Of          | Breitbart News Network
 Andrew Carnegie           | Founder Of           | Carnegie Laboratory
 Andrew Carnegie           | Member Of            | South Fork Fishing and Hu
 Andrew Carnegie           | Founder Of           | South Fork Hunting & Fish
 Andrew Carrington Hitchco | Employer Of          | RiverCrest Publishing
 Andrew Cuomo              | Colleague Of         | Anthony Fauci
 Andrew Cuomo              | Graduate Of          | Fordham University
 Andrew Cuomo              | Child Of             | Mario Cuomo
 Andrew Cuomo              | Lives In             | New York
 Andrew Ellicott           | Colleague Of         | Pierre-Charles L'Enfant
 Andrew Gavin Marshall     | Works For            | Global Research
 Andrew Greeley            | Lives In             | Chicago
 Andrew Higgins            | Works For            | the Wall Street Journal
 Andrew Higgins            | Employee Of          | Washington Post
 Andrew Jackson            | Opponent Of          | 2nd United States Bank
 Andrew Jackson            | Lives In             | Tennessee
 Andrew James “A.J.”       | Child Of             | Caradori
 Andrew Johnson            | Employer Of          | The Hunter Commission
 Andrew Kaczynski          | Works For            | BuzzFeed
 Andrew Kaczynski          | Works For            | CNN
 Andrew Kaczynski          | Employee Of          | CNN Money
 Andrew Lyke               | Employee Of          | Chicago Archdiocese’s Off
 Andrew Malone             | Employee Of          | The Daily Mail
 Andrew McCarthy           | Graduate Of          | Cardinal Hayes Catholic H
 Andrew McCarthy           | Graduate Of          | Fordham University Law Sc
 Andrew Mellon             | Member Of            | South Fork Fishing and Hu
 Andrew Mellon             | Member Of            | South Fork Hunting & Fish
 Andrew Napolitano         | Employer Of          | Freedom Watch
 Andrew Orta               | Works For            | Columbia University Press
 Andrew Puzder             | Employer Of          | Carl’s Jr.
 Andrew Puzder             | Employee Of          | CKE Restaurants
 Andrew Puzder             | Leader Of            | CKE Restaurants
 Andrew Ross               | Employee Of          | San Francisco Chronicle
 Andrew Thomas             | Works For            | al Jazeera
 Andrew Tremlett           | Works For            | Westminster Abbey
 Andrew W. Griffin         | Works For            | Red Dirt Report
 Andrew White              | Graduate Of          | Douai
 Andrew White              | Lives In             | Kittamaquund
 Andrew White              | Founder Of           | Kittamaquund
 Andrew White              | Sibling Of           | Peter
 Andrew White              | Graduate Of          | St. Omer’s
 Andrey Lysenko            | Employee Of          | Council of National Secur
 Andrija Artukovic         | Subordinate Of       | Archbishop Stepinac
 Andrija Artukovic         | Member Of            | Knights of Columbus
 Andrija Artukovic         | Leader Of            | Ministry of the Interior
 Andy                      | Spouse Of            | Rachel Robards
 Andy Furillo              | Employee Of          | the Sacramento Bee
 Angela Greiling Keane     | Leader Of            | National Press Club
 Angela Howard             | Collaborator Of      | Sasha Tarrant
 Angela Lansbury           | Associate Of         | Eleanor Shaw
 Angelina Jolie            | Spouse Of            | Billy Bob Thornton
 Angelo                    | Parent Of            | August Paul von Wasserman
 Angelo Caloia             | Leader Of            | Mediocredito Lombardo ban
 Angelo da Clarino         | Lives In             | Avignon
 Angelo Lanzoni            | Member Of            | P2
 Angelo Rizzoli Jr.        | Owner Of             | Corriere della Sera
 Angelo Romita             | Leader Of            | Ecumenical Group of Bari
 Angelo Sodano             | Works For            | Vatican
 Angelo Sorino             | Lives In             | Palermo
 Angleton                  | Collaborator Of      | Borghese
 Angleton                  | Child Of             | Hugh Angleton
 Angleton                  | Member Of            | Sovereign Military Order 
 Angleton                  | Graduate Of          | Yale
 Anima                     | Lives In             | Rome
 Anjou                     | Child Of             | Catherine de Medici
 Anna                      | Sibling Of           | Basil II
 Anna                      | Child Of             | Roberto Calvi
 Anna Charboniere          | Child Of             | Giovanni Charboniere
 Anna Hauptmann            | Spouse Of            | Hauptmann
 Anna Porphyrogeneta       | Child Of             | Romanos II
 Anna Porphyrogeneta       | Spouse Of            | Vladimir the Great
 Anna Surratt              | Child Of             | Mary Elizabeth Surratt
 Ann Collins               | Parent Of            | Kevin Andrew Collins
 Ann Corcoran              | Works For            | Refugee Resettlement Watc
 Ann Cryer                 | Lives In             | Keighley
 Ann Dunham                | Parent Of            | Barack Obama
